What notation represents the set of all real $n \times n$ dimensional matrices?,$\mathbb{R}^{n \times n}$
Theorem 3.10 states that a symmetric matrix is positive definite if and only if all of its \_\_\_\_\_ are positive.,principal minors (upper left minors)
What defines an 'orthogonal' matrix $\mathbf{A}$?,$\mathbf{A}$ is invertible and $\mathbf{A}^{-1} = \mathbf{A}^T$.
"If $\mathbf{A}$ and $\mathbf{B}$ are orthogonal matrices, what is the nature of their product $\mathbf{A}\mathbf{B}$?",The product is also orthogonal.
What is an eigenvalue $\lambda$ of a square matrix $\mathbf{A}$?,A complex number such that $\mathbf{A}\mathbf{x} = \lambda\mathbf{x}$ has a nontrivial solution $\mathbf{x} \ne \mathbf{0}$.
The algebraic equation $\det(\mathbf{A} - \lambda\mathbf{I}) = 0$ used to find eigenvalues is known as the \_\_\_\_\_.,characteristic equation
"What is the relationship between the determinant of a matrix $\mathbf{A}$ and its eigenvalues $\lambda_1, \ldots, \lambda_n$?",$\det(\mathbf{A}) = \lambda_1\lambda_2\cdots\lambda_n$
"Based on eigenvalues, when is a square matrix $\mathbf{A}$ invertible?",When all of its eigenvalues are non-zero ($\lambda_i \ne 0$ for all $i$).
"If $\lambda$ is an eigenvalue of an invertible matrix $\mathbf{A}$, what is the corresponding eigenvalue for $\mathbf{A}^{-1}$?",$1/\lambda$
"If $\lambda$ is an eigenvalue of $\mathbf{A}$, what is the corresponding eigenvalue for the matrix $\mathbf{A}^k$?",$\lambda^k$
Where are the eigenvalues located for a triangular matrix?,"On the main diagonal elements ($a_{11}, a_{22}, \ldots, a_{nn}$)."
Two square matrices $\mathbf{A}$ and $\mathbf{B}$ are 'similar' if there exists an invertible matrix $\mathbf{P}$ such that \_\_\_\_\_.,$\mathbf{A} = \mathbf{P}^{-1}\mathbf{B}\mathbf{P}$
What important property do similar matrices share regarding their eigenvalues?,Their eigenvalues are identical.
Definition: Spectral Radius $\rho(\mathbf{A})$.,The maximum absolute value of the eigenvalues of $\mathbf{A}$: $\max\{|\lambda| : \lambda \text{ is an eigenvalue of } \mathbf{A}\}$.
How is the spectral radius of $\mathbf{A}^k$ related to the spectral radius of $\mathbf{A}$?,$\rho(\mathbf{A}^k) = (\rho(\mathbf{A}))^k$
"According to Theorem 3.16, the spectral radius $\rho(\mathbf{A})$ is always less than or equal to any \_\_\_\_\_.",matrix norm $\|\cdot\|$
"Theorem 3.17: For any $\varepsilon > 0$, there exists a matrix norm $\|\cdot\|$ such that $\|\mathbf{A}\| \le$ \_\_\_\_\_.",$\rho(\mathbf{A}) + \varepsilon$
How is the spectral norm $\|\mathbf{A}\|_2$ calculated for a general square matrix?,$\|\mathbf{A}\|_2 = \sqrt{\rho(\mathbf{A}^T\mathbf{A})}$
"If a matrix $\mathbf{A}$ is symmetric, how does its spectral norm $\|\mathbf{A}\|_2$ relate to its spectral radius $\rho(\mathbf{A})$?",They are equal: $\|\mathbf{A}\|_2 = \rho(\mathbf{A})$.
"What is the name of the determinant where the rows are powers of $a_i$ (e.g., $1, a_i, a_i^2, \ldots, a_i^{n-1}$)?",Vandermonde determinant
Under what condition is the Vandermonde determinant non-zero?,"The numbers $a_1, \ldots, a_n$ must be pairwise distinct."
"What is the formula for the value of the Vandermonde determinant given numbers $a_1, \ldots, a_n$?",$\prod_{i>j}(a_i - a_j)$
"If $\mathbf{A}$ and $\mathbf{B}$ are positive definite matrices, is their sum $\mathbf{A} + \mathbf{B}$ also positive definite?",Yes.
Is the square of a positive definite matrix ($\mathbf{A}^2$) also positive definite?,Yes.
Is the transpose of a positive definite matrix ($\mathbf{A}^T$) also positive definite?,Yes.
Define 'column diagonally dominant' in terms of the matrix's entries.,"$|a_{jj}| > \sum_{i \ne j} |a_{ij}|$ for all $j = 1, \ldots, n$."
