"In Gaussian elimination, what is another name for 'complete pivoting'?",Maximal pivoting.
True or False: Row diagonal dominance implies that $|a_{ii}| \ge \sum_{j \ne i} |a_{ij}|$.,False; the definition requires a strict inequality ($>$).
What is the index range for calculating the sum in the row diagonal dominance definition?,"$j = 1, \ldots, n$ such that $j \ne i$."
"If a matrix $\mathbf{A}$ is not row diagonally dominant, does it necessarily mean it is not invertible?","No, diagonal dominance is a sufficient but not necessary condition for invertibility."
"At step $k$ of Gaussian elimination, row $l$ is the row that contains the \_\_\_\_\_ absolute value element among candidate pivot rows.",Maximum.
How many total determinants must be positive to confirm a $5 \times 5$ matrix is positive definite?,"Five determinants (the $1\times1, 2\times2, 3\times3, 4\times4,$ and $5\times5$ upper-left minors)."
"In the Hungarian text, what is the term used for 'complete pivoting'?",Teljes főelemkiválasztás.
"In the Hungarian text, 'sorkiegyenlítés' translates to what English numerical concept?",Row equilibration or row scaling.
What happens to the variable labels at the bottom of the matrix in the example when columns 1 and 4 are swapped?,"The label $x_1$ moves to column 4, and $x_4$ moves to column 1."
What logic error is avoided by checking $|x_k| = \max\{|x_i|\}$ in the diagonal dominance invertibility proof?,"It ensures $x_k \ne 0$, allowing for the division necessary to reach the contradiction."
Why is the multiplier in Gaussian elimination restricted to $k+1 \le i \le n$?,Because the purpose is to eliminate elements below the pivot position in the $k$-th column.
"In Algorithm 3.31, what constitutes the 'INPUT'?",The augmented coefficient matrix $a_{ij}$ for $i=1 \ldots n$ and $j=1 \ldots n+1$.
The phrase 'stable with respect to rounding errors' implies that \_\_\_\_\_.,Small errors introduced by computer precision do not grow large enough to invalidate the result.
"According to the transcript, how many options were there in the example for the first pivot if the max value was $4$?",Three options (at different positions in the matrix).
"When a matrix is positive definite, the value $x^T A x$ is always \_\_\_\_\_.",Positive.
What is the summation formula used to calculate $x^T A x$?,$\sum_{i=1}^{n} \sum_{j=1}^{n} a_{ij} x_i x_j$.
Formula: Pivot scaling ratio in implicit partial pivoting.,$\frac{|a_{lk}|}{s_l} = \max_{k \le i \le n} \frac{|a_{ik}|}{s_i}$.
"If a matrix is symmetric and all its eigenvalues are positive, it is likely to be \_\_\_\_\_.",Positive definite.
What is the primary motivation for using partial or complete pivoting during elimination?,"To prevent division by zero or by very small numbers, which increases rounding error."
