What is the primary motivation for using Runge–Kutta methods instead of high-order Taylor methods?,To avoid the complex computation of higher-order derivatives of $f$ while maintaining high convergence rates.
"According to the order table, what is the maximum achievable order for a Runge–Kutta method with $p=6$ stages?",5
"What is the value of the first stage $w_{i,1}$ in the classical fourth-order Runge–Kutta method?","$w_{i,1} = f(t_i, z_i)$"
"In the classical RK4 method, what is the formula for the second stage $w_{i,2}$?","$w_{i,2} = f(t_i + \frac{h}{2}, z_i + \frac{h}{2}w_{i,1})$"
"In the classical RK4 method, what is the formula for the third stage $w_{i,3}$?","$w_{i,3} = f(t_i + \frac{h}{2}, z_i + \frac{h}{2}w_{i,2})$"
"In the classical RK4 method, what is the formula for the fourth stage $w_{i,4}$?","$w_{i,4} = f(t_{i+1}, z_i + hw_{i,3})$"
What is the final step formula for $z_{i+1}$ in the classical fourth-order Runge–Kutta method?,"$z_{i+1} = z_i + \frac{h}{6}(w_{i,1} + 2w_{i,2} + 2w_{i,3} + w_{i,4})$"
What smoothness condition on $f$ is required for the classical Runge–Kutta method to have a fourth-order local truncation error?,$f \in C^5$
How does the classical fourth-order Runge–Kutta method relate to Simpson's rule?,"If $f$ depends only on $t$, the method reduces to Simpson's rule."
How many function evaluations per step are required for the classical fourth-order Runge–Kutta method?,Four
How many function evaluations per step are required for the modified Euler method?,Two
"In the $p=2$ case, how many equations must be satisfied to identify as many second-order terms as possible?",Six (three for first-order agreement and three for partial second-order agreement).
"For the IVP $y' = 2 - t - y, y(0) = 1$, how do the results of the midpoint, modified Euler, and Heun methods compare?",They generate the same approximate solution for any step size $h$.
What is the relationship between the local truncation error of the midpoint method ($\tau_{i+1}$) and the second-order Taylor method ($\bar{\tau}_{i+1}$)?,"$\tau_{i+1} = \bar{\tau}_{i+1} - E(t_i, y(t_i), \frac{h}{2}, \frac{h}{2}f(t_i, y(t_i)))$"
"In the general RK formula, what do the parameters $\alpha_j$ represent?",The fractions of the step size $h$ added to the time variable $t$ for each stage evaluation.
"In the general RK formula, what do the parameters $\gamma_j$ represent?",The weights assigned to each stage's slope $G_j$ in the final average.
What is the local truncation error order of a 'third-order' Runge–Kutta method?,Third-order ($O(h^3)$).
"For $p=1$, the Runge–Kutta method reduces to which well-known numerical method?",The Euler method.
"If $f$ is Lipschitz continuous in its second variable, the midpoint method's increment function $F$ is also \_\_\_\_\_.",Lipschitz continuous in its second variable
What is the maximum order of a Runge–Kutta method where the number of stages $p$ equals 10?,7
What is the maximum order of a Runge–Kutta method where the number of stages $p$ equals 2?,2
"In the classical RK4 method, the time points used for the four slopes are $t_i$, $t_i + h/2$, $t_i + h/2$, and \_\_\_\_\_.",$t_{i+1}$ (or $t_i + h$)
Which method uses a slope calculated at $t_i + 2h/3$ as its second stage?,Heun's method.
Which method uses a slope calculated at $t_i + h/2$ using an intermediate Euler half-step?,The midpoint method.
What characterizes an 'explicit' Runge–Kutta method compared to an implicit one?,"Each stage $G_j$ is calculated using only previously determined stages $G_1, \dots, G_{j-1}$."
"The error term $E(t, z, a, b)$ in the derivation of the midpoint method is of what order?",Second-order.
"In the context of the $p=2$ RK method, what is the role of $\beta_{21}$?",It is the coefficient weighting the first slope $G_1$ in the argument of the second stage $G_2$.
"When comparing the numerical results for $y' = 2y - 10t^2 + 2t$, which method typically shows the smallest error at $t=1.0$ for $h=0.1$?",The classical fourth-order Runge–Kutta method.
"The function $F(t, z; h)$ in a Runge–Kutta method is often called the \_\_\_\_\_ function.",increment
"To achieve a fourth-order local error, what is the minimum number of stages required?",4
"To achieve a fifth-order local error, what is the minimum number of stages required?",6
"In the derivation of RK methods, why is the 'Lipschitz continuity' of $f$ important?",It ensures the stability and convergence of the numerical approximation.
The midpoint method is an example of a \_\_\_\_\_ stage Runge–Kutta method.,two
"In the modified Euler method, the final slope is the \_\_\_\_\_ of the slopes at the beginning and end of the interval.",arithmetic mean (or average)
What is the sum of the weights $\gamma_j$ in the classical RK4 method?,1 (from $\frac{1}{6} + \frac{2}{6} + \frac{2}{6} + \frac{1}{6}$).
