"In the context of Richardson's extrapolation, what does the symbol $M$ represent?",The exact value of a quantity being approximated.
"Starting from a 1st-order difference formula, what order approximation is produced by one step of Richardson's extrapolation?",Second-order.
"According to Example 7.6, the 4th-order Richardson-extrapolated central difference is equivalent to which formula?",Formula (7.11).
What is the purpose of multiplying the $h/2$ equation by 4 in the derivation of $K^{(1)}$?,To match the coefficient of the $a_2 h^2$ term in the original $h$ equation so it cancels out.
"If $f \in C^{2m+3}$, what is the order of the remainder term $b(h)$ in the central difference derivative expansion?",$h^{2m+2}$
"In the expression for $a_{2i}^{(1)}$, how is it related to the original coefficient $a_{2i}$?",$a_{2i}^{(1)} = \frac{1 - 4^{i-1}}{4^{i-1} \cdot 3}a_{2i}$
What is the primary benefit of using Richardson's extrapolation instead of simply decreasing $h$ to a very small value?,"It achieves high accuracy with larger step sizes, potentially avoiding round-off errors and reducing computational cost."
"In the formula $K^{(2)} = \frac{16K^{(1)}(h/2) - K^{(1)}(h)}{15}$, where does the number 15 come from?",It is $4^2 - 1$ (the ratio of $h^4$ to $(h/2)^4$ minus 1).
Which specific differentiation formula is used as the starting point for the Richardson examples in the text?,The central difference formula.
What is the result of applying Richardson's extrapolation to a sequence of approximations that does not have a structured error expansion?,The method may fail to improve accuracy or could even decrease it.
Concept: Truncation error.,Definition: The error made by truncating an infinite process (like a Taylor series) to a finite one.
What is the value of $m$ in the term $a_{2m} h^{2m}$ if we want to reach a tenth-order approximation?,5
"Cloze: To derive a third-order approximation from a first-order one, the leading error term must be proportional to \_\_\_\_\_.",$h^1$ (or $h^2$ for the second step)
How does the complexity of the approximation formula $K^{(i)}(h)$ change as $i$ increases?,"It involves more function evaluations at different step sizes ($h, h/2, h/4, \dots$)."
Formula: The general error bound for $b(h)$ in the second-order case.,$|b(h)| \le B h^{2m+2}$
"If $M$ is being approximated, $K(h)$ is the approximation, and $E(h)$ is the error, what is the basic identity used?",$M = K(h) + E(h)$
Why is the central difference formula referred to as 'másodrendű' in the Hungarian text?,Because its error is proportional to $h^2$ (second-order).
"In the exercise to derive a 6th-order formula for $f'(0)$ where $f(x) = e^{x} \sin x$, what is the starting step size $h$?",0.25
The general case formula uses integers $1 \le \alpha_1 < \alpha_2 < \dots < \alpha_m$. What does $\alpha_i$ represent?,The powers of $h$ present in the error expansion.
"If the error expansion is $M = K(h) + a_1 h + a_2 h^2 + \dots$, the first extrapolated value $K^{(1)}(h)$ is \_\_\_\_\_.",$2K(h/2) - K(h)$
"In the central difference expansion, what is the coefficient of the $h^4$ term ($a_4$)?",$- \frac{f^{(5)}(x_0)}{5!}$
What happens to the coefficients $a_{2i}$ of the remaining error terms after one step of Richardson's extrapolation?,They are transformed into new coefficients $a_{2i}^{(1)}$.
The Richardson procedure can be viewed as a linear combination of \_\_\_\_\_ at different scales.,approximations
Formula: The relation for $M$ after the second-order term is cancelled.,$M = \frac{4K(h/2) - K(h)}{3} + O(h^4)$
Is Richardson's extrapolation limited to derivatives?,"No, it can be applied to integrals (Romberg integration) or any numerical limit process with a known error structure."
What is the constant $B$ in the error bound $|b(h)| \le B h^{2m+2}$?,A positive constant independent of $h$ that bounds the higher-order terms.
"In the context of Exercise 4, what is the order of the 'one-sided difference' formula?",First-order.
"If $K^{(0)}(h) = K(h)$, $K^{(1)}(h)$ requires $K(h/2)$, how many $h$ values does $K^{(2)}(h)$ require?","Three: $h, h/2, h/4$."
Cloze: The procedure of Richardson's extrapolation generates a \_\_\_\_\_ of approximations of increasing order.,sequence
What is the denominator of the third extrapolation step $K^{(3)}$ if the error only has even powers?,63 ($4^3 - 1$)
How does halving the step size twice ($h \to h/2 \to h/4$) assist in reaching a 6th-order approximation?,It provides enough data points to eliminate both the $h^2$ and $h^4$ error terms.
"In the derivation of $K^{(1)}$, why is $M$ multiplied by 4 on the left side of the intermediate step?",Because the entire equation for $h/2$ was multiplied by 4.
What is the leading error term of $K^{(2)}(h)$?,$a_6^{(2)} h^6$
