What is the primary objective of the bisection method in numerical analysis?,To approximate the solution of a scalar nonlinear algebraic equation $f(x) = 0$.
Term: Bisection Method,Definition: An iterative algorithm that finds a root by repeatedly halving an interval that brackets the root.
How does the bisection method ensure that at least one root is contained in each generated sub-interval?,By selecting sub-intervals that maintain the property of having opposite signs at the endpoints.
"In the bisection method, the sequence of midpoints $p_k$ converges to the \_\_\_\_\_ of the function.",Root (or solution)
"The error bound of the bisection method depends on the \_\_\_\_\_ of the initial interval $[a,b]$.",Length (or width)
True or False: The bisection method can find multiple roots simultaneously within a single interval.,False; it converges to a single root contained within the nested intervals.
"According to Theorem 2.16, what class of functions ($f \in \dots$) is required for the bisection sequence to converge?","$f \in C[a,b]$ (continuous functions on the closed interval)."
Equation (2.4) shows that the error of the bisection method is halved with each \_\_\_\_\_.,Iteration (or step/halving)
Exercise root existence: What is the initial interval provided to show $x^3 - 6x - 1 = 0$ has a root?,"$[-1, 1]$"
Exercise root existence: What is the initial interval provided for $x = e^{-2x}$?,"$[-1, 2]$"
"Exercise root existence: For $\tan x = x + 1$, what is the specified interval?","$[-1, 1.5]$"
"Exercise root existence: For $e^{-\sin x} = x^2 - 1$, what is the specified interval?","$[0, 2]$"
"In the context of Bolzano-Darboux, what must be true about $f(a)$ and $f(b)$ to guarantee a root exists for $f(x)=0$?",They must have opposite signs ($f(a) < 0 < f(b)$ or $f(b) < 0 < f(a)$).
What is the geometric interpretation of the Intermediate Value Theorem?,A continuous curve passing through points above and below a horizontal line must intersect that line.
"In Example 2.17, what is the value of $f(0)$?",$-1$
What happens to the error bound in the bisection method if the tolerance $\varepsilon$ is decreased by a factor of 10?,The number of required iterations $k$ increases by approximately $3.32$ (since $\log_2 10 \approx 3.32$).
Concept: Nested intervals,"Definition: A sequence of intervals where each interval is contained within the previous one ($[a_{k+1}, b_{k+1}] \subset [a_k, b_k]$)."
"How is the 'opposite sign property' checked computationally for an interval $[a, p]$?",By checking if the product $f(a)f(p) < 0$.
"In the calculation $k \geq \log_2 \frac{b - a}{\varepsilon} - 1$, why is the base of the logarithm 2?",Because the interval length is reduced by a factor of 2 in each iteration.
What is the starting index $k$ for the bisection method iteration table provided in the text?,0
"If $f(0) = -1$ and $f(1) = 1.718$, and $p_0 = 0.5$ gives $f(0.5) = -0.106$, what is the next interval?","$[0.5, 1]$"
The bisection method is often described as a 'bracket' method because it always keeps the root between \_\_\_\_\_.,The two endpoints of the current interval ($a_k$ and $b_k$).
"When solving $x = e^{-2x}$ via bisection, the function $f(x)$ should be rearranged as \_\_\_\_\_.",$f(x) = x - e^{-2x} = 0$ (or $e^{-2x} - x = 0$).
"If an interval length is $1.0$ and we perform 1 iteration, the maximum possible error for the midpoint $p_0$ is \_\_\_\_\_.",0.5 (or $\frac{1}{2^1}$)
The sequence of midpoints $p_k$ is an approximation of the \_\_\_\_\_ point of the nested intervals.,Unique common (or limit)
Why does the bisection method converge even if $f$ is not differentiable?,Because it only requires continuity to satisfy the Intermediate Value Theorem.
Cloze: The length of the $10$th interval is \_\_\_\_\_ times smaller than the initial interval.,$2^{10}$ (or 1024)
How does the bisection method handle functions with multiple roots in the initial interval?,"It will converge to exactly one of the roots, depending on the signs at the midpoints."
"If $f(a) > 0$ and $f(b) < 0$, and $f(p_0) > 0$, what is the new interval $[a_1, b_1]$?","$[p_0, b_0]$ (since $f(p_0)$ and $f(b_0)$ have opposite signs)."
Exercise: What is the value of $f(p_0)$ for $f(x) = e^x - 2\cos x$ at $k=0$?,$-1.0644 \times 10^{-1}$ (or $-0.10644$)
Formula: The distance from the midpoint $p_k$ to any endpoint $a_k$ or $b_k$.,$\frac{b_k - a_k}{2}$
"In the bisection method, $p_k$ is defined as the \_\_\_\_\_ of the interval $[a_k, b_k]$.",Midpoint (or arithmetic mean)
The Bolzano-Darboux Theorem is a specific application of which broader calculus theorem?,Intermediate Value Theorem
Is the bisection method considered a fast or slow convergence method compared to others?,"It is generally considered slow, but very reliable (robust)."
Condition: Why must $f$ be continuous for the bisection method to reliably converge to a root?,To ensure that $f(p)=0$ is the only value consistent with the limits of the positive and negative endpoint sequences.
