How is an $m$-step iteration defined in numerical analysis?,"$p_{k+1} = h(p_k, p_{k-1}, \ldots, p_{k-m+1})$ for $k \geq m-1$."
"What is the error estimate (formula 2) for $|p_k - p|$ that only uses the first two terms of the sequence ($p_0, p_1$)?",$|p_k - p| \leq \frac{c^k}{1 - c} |p_1 - p_0|$.
The constant $c$ in $|g(x) - g(y)| \leq c|x - y|$ is known as the \_\_\_\_\_.,Lipschitz constant.
A function $g$ is called a \_\_\_\_\_ if it is Lipschitz continuous with a constant $0 \leq c < 1$.,Contraction.
"If $g \in C^1[a,b]$, how is the Lipschitz constant $c$ typically calculated?","$c = \max \{ |g'(x)| : x \in [a,b] \}$."
Is it possible for a function to be Lipschitz continuous but not differentiable? Provide the example from the text.,Yes; $g(x) = |x|$ is Lipschitz continuous but not differentiable at the origin.
What is the difference between global and local convergence of an iterative method?,"Global convergence occurs for any initial value, while local convergence requires the initial value to be within a distance $\delta$ of the solution."
What condition on the derivative of $g$ at fixed point $p$ ensures local convergence?,$|g'(p)| < 1$.
"If $0 < g'(p) < 1$, how does the fixed-point iteration sequence approach the fixed point $p$?",Monotonically (the stair-step diagram approaches from one side).
"If $-1 < g'(p) < 0$, what is the geometric characteristic of the Cobweb diagram?",It spirals toward the fixed point.
What happens to the fixed-point iteration if $|g'(p)| > 1$ and $p_0 \neq p$?,The sequence diverges (moves away from the fixed point).
"How is a 'stair-step diagram' constructed starting from $(p_0, 0)$?","Draw a vertical line to $(p_0, g(p_0))$, then a horizontal line to the line $y=x$ at $(p_1, p_1)$."
The fixed-point theorem is often referred to in broader mathematical analysis as the \_\_\_\_\_ Principle.,Contraction Mapping (or Contraction Principle).
"Under the conditions of Theorem 2.15 ($|g'(p)| < 1$), why is there a $\delta > 0$ such that the function is a contraction on $[p - \delta, p + \delta]$?",Because the derivative $g'$ is continuous.
"In the proof for the second error estimate, $|p_k - p_m| \leq \frac{c^k}{1-c} |p_1 - p_0|$, what happens to $m$ to derive the final formula?",$m$ tends to infinity ($\infty$).
"If a sequence $p_k$ is generated by $p_{k+1} = g(p_k)$, what does $|p_k - p|$ represent?",The error of the $k$-th approximation.
Why is the second error estimate $|p_k - p| \leq \frac{c^k}{1-c} |p_1 - p_0|$ often more useful in practice than the first?,It can be evaluated without knowing the exact fixed point $p$.
What is a 'Cobweb diagram'?,A visual tool used to see the behavior of a fixed-point iteration by plotting $y=g(x)$ and $y=x$.
"If $g'(p) < -1$, how does the sequence behave near the fixed point?",It oscillates and diverges (moves away spirally).
"If $g'(p) > 1$, how does the sequence behave near the fixed point?",It diverges monotonically.
"For the function $g(x) = \sqrt{1 + x^2}$, the derivative $|g'(x)|$ is always less than $1$, yet it has no fixed point. Which condition of Theorem 2.12 does it violate?","It does not map a closed, bounded interval $[a,b]$ into itself."
What is the relationship between Lipschitz continuity and standard continuity?,Lipschitz continuity implies standard continuity.
"In Theorem 2.13, why does $|p_k - p| \leq c^k |p_0 - p|$ imply convergence if $c < 1$?","As $k \to \infty$, $c^k \to 0$, forcing the error to zero."
"In the proof of uniqueness, the difference $|p - q|$ is shown to be $\leq c|p - q|$. Why does $c < 1$ force $p = q$?",Because a positive distance cannot be less than or equal to a smaller fraction of itself.
"What property of $g$ on the interval $[a,b]$ ensures that the sequence $p_k$ stays within that interval?","The property that $g$ maps $[a,b]$ into $[a,b]$."
Term: $n$-step iteration,"Definition: A recursion where each new term is determined by the $n$ preceding terms. Example: $p_{k+1} = h(p_k, p_{k-1})$."
What algebraic step is usually the first in solving $f(x) = 0$ via fixed-point iteration?,Rewriting the equation into the form $x = g(x)$.
What mathematical tool is used to prove $|g(p_{k-1}) - g(p)| \leq c|p_{k-1} - p|$ in the Fixed-Point Theorem?,Lagrange's Mean Value Theorem.
"True or False: If a fixed-point iteration converges, the limit must be a fixed point of $g$, provided $g$ is continuous.",True.
How does the speed of convergence in fixed-point iteration relate to the Lipschitz constant $c$?,A smaller $c$ results in faster convergence.
What can be inferred about $g$ if it is 'piecewise continuously differentiable'?,It is Lipschitz continuous.
"Formula: $|g'(x)| \leq c$ for $c \in [0, 1)$",Purpose: This is the sufficient condition for the uniqueness of a fixed point and the convergence of the iteration.
What is the 'domain' requirement for $g$ in the local convergence theorem (Theorem 2.15)?,"$g \in C^1[a,b]$ and the fixed point $p$ must be in the open interval $(a,b)$."
"If the fixed-point iteration sequence is $p_k = 2^k$, why is the limit not considered a fixed point in the standard interval sense?","Because the limit is infinite, and fixed points are typically sought within finite intervals $[a,b]$."
Concept: Global Convergence,Definition: An iterative method where the sequence converges to the solution regardless of the initial starting point $p_0$.
"In the context of the Mean Value Theorem, if $f(x) = x^2$ on $[0, 2]$, for what value of $\xi$ does $f'(\xi) = \frac{f(2)-f(0)}{2-0}$?",$\xi = 1$.
What is the geometric meaning of $f'(\xi) = \frac{f(b)-f(a)}{b-a}$?,"The tangent line at $\xi$ is parallel to the secant line passing through $(a, f(a))$ and $(b, f(b))$."
What is the primary visual difference between the convergence of $g'(p) = 0.5$ and $g'(p) = -0.5$?,"The first is a 'step' approach (monotone), the second is a 'spiral' approach (oscillating)."
"In the sequence $p_{k+1} = -\frac{1}{8}p_k^3 + p_k + 1$ with $p_0 = 0.4$, to what value does the sequence converge?",$2$.
How does one identify a potential fixed-point function $g(x)$ for the equation $x^3 + x - 1 = 0$?,"By isolating $x$, e.g., $x = 1 - x^3$ or $x = \sqrt[3]{1 - x}$."
"Which error estimate is 'a priori', meaning it can be calculated before the iteration starts (assuming $p$ is roughly known)?",$|p_k - p| \leq c^k |p_0 - p|$.
"Which error estimate is 'a posteriori', meaning it is calculated using the actual values produced during iteration?",$|p_k - p| \leq \frac{c^k}{1 - c} |p_1 - p_0|$.
Under what specific condition is the sequence $p_k = (-1)^k$ generated?,When $g(x) = -x$ and $p_0 = 1$.
"If a function is only piecewise differentiable, can it still be a contraction?","Yes, provided its Lipschitz constant $c$ is less than $1$."
"When using a calculator for fixed-point iteration, what determines when to stop?","When the desired accuracy (e.g., 4 decimal places) is reached between successive terms."
