What is the limit definition of the derivative $f'(x_0)$?,$f'(x_0) = \lim_{h \to 0} \frac{f(x_0 + h) - f(x_0)}{h}$
Why might a 4-digit arithmetic calculation show an increase in error when $h$ is reduced from 0.01 to 0.001?,The increase in rounding error outweighs the decrease in truncation error.
"What is the numerical approximation for the partial derivative $\frac{\partial f(x_0, y_0)}{\partial x}$ using a first-order forward difference?","$\frac{f(x_0 + h, y_0) - f(x_0, y_0)}{h}$"
"What is the central difference approximation for the second partial derivative $\frac{\partial^2 f(x_0, y_0)}{\partial x^2}$?","$\frac{f(x_0 + h, y_0) - 2f(x_0, y_0) + f(x_0 - h, y_0)}{h^2}$"
"What is the approximation formula for the mixed partial derivative $\frac{\partial^2 f(x_0, y_0)}{\partial x \partial y}$?","$\frac{f(x_0 + h, y_0 + h) - f(x_0 + h, y_0) - f(x_0, y_0 + h) + f(x_0, y_0)}{h^2}$"
The formula $f'''(x_0) \approx \frac{1}{2h^3}(f(x_0 + 2h) - 2f(x_0 + h) + 2f(x_0 - h) - f(x_0 - 2h))$ approximates which derivative?,The third derivative ($f'''(x_0)$).
The formula $f^{(4)}(x_0) \approx \frac{1}{h^4}(f(x_0 + 2h) - 4f(x_0 + h) + 6f(x_0) - 4f(x_0 - h) + f(x_0 - 2h))$ approximates which derivative?,The fourth derivative ($f^{(4)}(x_0)$).
What is the truncation error order of the first-order forward difference formula?,$O(h)$
What is the truncation error order of the central difference formula for the first derivative?,$O(h^2)$
"If $f \in C^2[a, b]$, what is the maximum order of the Taylor expansion useful for deriving a first-order derivative approximation?",First-order Taylor expansion with a second-order error term.
"In formula (7.1), why is the limit $x \to x_0$ taken?",To eliminate terms containing $(x-x_0)$ and isolate the derivative $f'(x_0)$ and the error term.
Term: Two-point difference formula,Definition: An approximation of the first derivative using values of the function at exactly two points.
Which formula is obtained by substituting $x_0 \leftarrow x_0 - 2h$ and $h \leftarrow -h$ into the three-point endpoint formula at $x_0 + 2h$?,The second-order backward difference formula.
"In Example 7.1, what happens to the error when $h$ is divided by 10?",The error is also divided by approximately 10.
What happens to the error in a second-order formula when $h$ is divided by 10?,The error is divided by 100 ($10^2$).
What is the primary drawback of using very small values of $h$ in practical computer calculations?,Significant increase in rounding error due to finite precision arithmetic.
The five-point one-sided formula for $f'(x_0)$ involves points from $x_0$ up to $x_0 +$ \_\_\_\_\_.,$4h$
"In the second derivative formula $f''(x_0) \approx \frac{f(x_0 - h) - 2f(x_0) + f(x_0 + h)}{h^2}$, the error is proportional to which derivative of $f$?",The fourth derivative ($f^{(4)}$).
"Formula: $\frac{\partial f(x_0, y_0)}{\partial y} \approx \frac{f(x_0, y_0 + h) - f(x_0, y_0)}{h}$",This is the first-order forward difference for the partial derivative with respect to $y$.
Why is the function $g(x) = f(x) + \frac{1}{n}\sin(n^2 x)$ used in the text?,To demonstrate the instability of numerical differentiation as $n$ becomes large.
Theorem 2.2 (Intermediate Value Theorem) is used in the derivation of the second derivative error to simplify the sum of which two terms?,$f^{(4)}(\xi_1) + f^{(4)}(\xi_2)$
"What does the notation $\xi \in \langle x_0, x_0 + h \rangle$ indicate?",The value $\xi$ lies in the interval between $x_0$ and $x_0 + h$.
True or False: The three-point endpoint formula and the second-order forward difference formula are the same if $h > 0$.,True
What is the sign of $h$ in a backward difference formula?,Negative ($h < 0$).
"If we use a 5-point formula, what is the highest degree of Lagrange polynomial being used?",Degree 4 ($n=4$).
"In Equation (7.14), what is the relationship between $h$ and the term $\frac{e_1 - e_0}{h}$?","They are inversely proportional; as $h$ gets smaller, the term gets larger."
What is the purpose of using 4-digit vs 6-digit arithmetic in Example 7.5?,To illustrate how limited precision arithmetic exacerbates rounding errors in differentiation.
"Which partial derivative formula uses the values at $(x_0+2h, y_0)$, $(x_0+h, y_0)$, and $(x_0, y_0)$?",The second-order forward difference for $\frac{\partial^2 f}{\partial x^2}$.
"In Equation (7.5), the product term $\prod_{j \ne i} (x_i - x_j)$ for equidistant points $x_j = x_0 + jh$ will result in a power of $h$ equal to \_\_\_\_\_.",$n$
What is the coefficient of $f(x_0)$ in the fourth-order one-sided difference formula (7.10)?,$-25$
What is the coefficient of $f(x_0 - h)$ in the fourth-order central difference formula (7.11)?,$-8$ (divided by $12h$).
The 'centered difference' is another name for the \_\_\_\_\_ formula.,central difference
Why is it impossible to compute the term $\frac{d}{dx}(f''(\xi(x)))$ explicitly in Lagrange's method?,Because the functional form of $\xi(x)$ is generally unknown.
